Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
H1,M3_Threaded_Insert,M3_Threaded_Insert,-27.0,14.0,0.0,bottom
H2,M3_Threaded_Insert,M3_Threaded_Insert,27.0,14.0,0.0,bottom
H3,M3_Threaded_Insert,M3_Threaded_Insert,0.0,-29.0,0.0,bottom
